### Labeled event data for Illinois CESER region (CRS ensures consistent shapes)
# Note some require sampling with AWS source and are not found on MPC!
# Recommend sampling args before=7, after=4, maxcover=10, source=cdse
2019-04-08, 204, 815, EPSG:32615
2024-05-21, 193, 764, EPSG:32615
2018-02-25, 206, 863, EPSG:32616
2024-05-21, 195, 769, EPSG:32615
2022-08-08, 183, 852, EPSG:32616
2019-03-17, 180, 864, EPSG:32616
2022-08-08, 183, 853, EPSG:32616
2019-10-08, 182, 862, EPSG:32616
2019-09-12, 172, 815, EPSG:32615
2022-08-08, 183, 851, EPSG:32616
2019-09-01, 246, 848, EPSG:32616
2019-03-25, 201, 832, EPSG:32616
2019-04-08, 205, 815, EPSG:32615
2019-03-25, 202, 832, EPSG:32616
2019-09-12, 175, 823, EPSG:32615
2019-03-17, 179, 859, EPSG:32616
2019-03-25, 203, 829, EPSG:32616
2019-03-25, 202, 826, EPSG:32615
2019-03-17, 179, 861, EPSG:32616
2018-10-08, 182, 855, EPSG:32615
2019-03-17, 181, 857, EPSG:32616
2018-10-08, 179, 862, EPSG:32616
2019-03-17, 180, 860, EPSG:32616
2022-08-08, 183, 850, EPSG:32616
2018-03-02, 208, 907, EPSG:32616
2023-09-22, 237, 858, EPSG:32616
2018-02-25, 206, 876, EPSG:32616
2019-03-17, 180, 859, EPSG:32616
2019-03-17, 182, 856, EPSG:32616
2018-03-02, 207, 908, EPSG:32616
2019-03-17, 180, 863, EPSG:32616
2019-03-17, 179, 862, EPSG:32616
