### Labeled event data for edge cases with shadows + haze (CRS ensures consistent shapes)
# Recommend sampling args before=2, after=4, maxcover=100, source=mpc
2023-05-20, 191, 886, EPSG:32616
2021-08-31, 239, 806, EPSG:32615
2023-02-08, 270, 661, EPSG:32614
2024-07-18, 188, 887, EPSG:32616
2019-03-22, 225, 849, EPSG:32615
2024-04-09, 212, 893, EPSG:32616
2021-07-04, 189, 881, EPSG:32616
2022-07-29, 197, 884, EPSG:32616
2018-09-24, 145, 810, EPSG:32615
2024-09-21, 194, 892, EPSG:32616
2021-10-07, 222, 850, EPSG:32615
2022-07-29, 273, 844, EPSG:32615
2019-07-10, 324, 846, EPSG:32615
2019-07-10, 184, 887, EPSG:32616
2020-08-15, 307, 896, EPSG:32616
2023-06-04, 193, 888, EPSG:32616
2019-04-01, 315, 861, EPSG:32616
2020-09-04, 279, 941, EPSG:32616
2021-09-02, 264, 834, EPSG:32615
2023-10-07, 196, 880, EPSG:32616
2019-07-15, 190, 889, EPSG:32616
2023-05-10, 266, 837, EPSG:32615
2020-07-01, 288, 897, EPSG:32616
2019-04-19, 181, 879, EPSG:32616
2019-07-15, 190, 886, EPSG:32616
2021-08-03, 187, 893, EPSG:32616
2022-09-27, 195, 888, EPSG:32616
2020-09-04, 279, 943, EPSG:32616
2022-07-29, 273, 855, EPSG:32616
2018-07-05, 201, 906, EPSG:32616
2023-07-04, 193, 885, EPSG:32616
2023-06-04, 249, 871, EPSG:32616
