### Labeled event data for Texas and Florida regions (CRS ensures consistent shapes)
# Recommend sampling args before=5, after=4, maxcover=35, within=24
2016-03-11, 452, 845, EPSG:32616
2016-03-11, 452, 846, EPSG:32616
2017-08-28, 463, 695, EPSG:32615
2017-08-28, 482, 695, EPSG:32615
2015-11-09, 473, 940, EPSG:32616
2017-08-28, 484, 696, EPSG:32615
2016-03-11, 453, 845, EPSG:32616
2017-08-26, 489, 703, EPSG:32615
2017-08-26, 493, 695, EPSG:32615
2017-08-26, 493, 708, EPSG:32615
2015-09-17, 497, 811, EPSG:32615
2017-08-26, 488, 695, EPSG:32615
2018-08-22, 580, 1050, EPSG:32617
2015-11-09, 473, 941, EPSG:32616
2015-11-09, 474, 941, EPSG:32616
2019-09-06, 396, 1099, EPSG:32617
2017-08-28, 462, 695, EPSG:32615
2017-08-26, 487, 696, EPSG:32615
2017-08-29, 497, 709, EPSG:32615
2016-03-11, 451, 839, EPSG:32616
2015-11-09, 472, 940, EPSG:32616
2015-11-09, 473, 939, EPSG:32616
2016-03-11, 452, 843, EPSG:32616
2019-09-06, 375, 1133, EPSG:32617
2018-08-22, 586, 1051, EPSG:32617
2018-08-15, 304, 703, EPSG:32615
2015-09-17, 496, 812, EPSG:32615
2015-11-09, 485, 960, EPSG:32616
2016-03-11, 451, 838, EPSG:32616
2015-11-09, 474, 942, EPSG:32616
2017-08-28, 470, 694, EPSG:32615
2018-09-17, 389, 1098, EPSG:32617
2017-08-26, 487, 695, EPSG:32615
2015-09-17, 497, 812, EPSG:32615
2017-08-26, 490, 704, EPSG:32615
2015-09-17, 496, 811, EPSG:32615
2017-08-26, 505, 698, EPSG:32614
2017-08-26, 497, 697, EPSG:32614
2017-08-30, 482, 705, EPSG:32615
2017-08-30, 482, 704, EPSG:32615
